time,Phi,dPhi_dt,Energy,Fragmentation,Ricci,Betti1,PermEntropy
602.0,0.206,-0.02,7.389,9.32,-2.21,12.0,0.59
604.0,0.205,-0.017,7.389,6.8,-0.616,8.0,0.62
606.0,0.204,-0.014,7.389,13.23,-2.123,16.0,0.63
608.0,0.203,-0.012,7.389,8.76,-4.593,14.0,0.63
610.0,0.203,-0.01,7.389,7.25,-4.121,12.0,0.63
612.0,0.202,-0.009,7.389,8.01,-3.333,12.0,0.63
614.0,0.202,-0.007,7.389,14.58,-0.749,16.0,0.63
616.0,0.202,-0.006,7.389,11.79,-0.644,13.0,0.61
618.0,0.202,-0.005,7.389,10.96,0.592,11.0,0.63
620.0,0.201,-0.005,7.389,15.76,0.315,16.0,0.61
622.0,0.201,-0.004,7.389,8.65,0.194,9.0,0.61
624.0,0.201,-0.003,7.389,13.48,0.048,14.0,0.61
626.0,0.201,-0.003,7.389,9.5,-0.025,10.0,0.6
628.0,0.201,-0.002,7.389,15.47,0.895,15.0,0.58
630.0,0.201,-0.002,7.389,13.07,-0.504,14.0,0.59
632.0,0.2,-0.002,7.389,7.56,-1.933,10.0,0.6
634.0,0.2,-0.001,7.389,7.29,-3.151,11.0,0.61
636.0,0.2,-0.001,7.389,9.77,0.332,10.0,0.61
638.0,0.209,0.172,3.167,3.06,-2.428,6.0,0.6
640.0,0.211,0.043,5.31,4.77,-2.696,8.0,0.61
642.0,0.211,-0.002,6.392,5.13,-5.243,11.0,0.63
644.0,0.209,-0.033,7.389,11.62,-1.7,14.0,0.64
646.0,0.208,-0.028,7.389,8.11,-1.328,10.0,0.61
648.0,0.207,-0.024,7.389,7.53,0.033,8.0,0.6
650.0,0.206,-0.02,7.389,6.7,-0.739,8.0,0.61
652.0,0.205,-0.017,7.389,7.34,-2.175,10.0,0.6
654.0,0.204,-0.015,7.389,7.68,0.134,8.0,0.59
656.0,0.211,0.142,3.538,3.05,-3.418,7.0,0.61
658.0,0.21,-0.019,6.911,5.07,-2.24,8.0,0.64
660.0,0.209,-0.031,7.389,10.22,0.875,10.0,0.63
662.0,0.207,-0.026,7.389,11.45,1.044,11.0,0.62
664.0,0.206,-0.022,7.389,10.35,0.984,10.0,0.63
666.0,0.205,-0.019,7.389,9.25,-0.152,10.0,0.62
668.0,0.205,-0.016,7.389,9.21,-3.325,13.0,0.59
670.0,0.204,-0.014,7.389,8.99,-2.569,12.0,0.59
672.0,0.207,0.064,5.136,4.27,-4.281,9.0,0.59
674.0,0.206,-0.021,7.389,6.49,-3.116,10.0,0.58
676.0,0.205,-0.018,7.389,9.87,-1.708,12.0,0.58
678.0,0.204,-0.015,7.389,13.5,-0.988,15.0,0.6
680.0,0.204,-0.013,7.389,7.99,-1.476,10.0,0.61
682.0,0.213,0.178,2.974,2.96,-6.523,10.0,0.6
684.0,0.217,0.097,3.964,3.73,-5.693,10.0,0.61
686.0,0.215,-0.052,7.389,10.89,-1.597,13.0,0.6
688.0,0.213,-0.044,7.389,6.48,-2.012,9.0,0.6
690.0,0.211,-0.038,7.389,11.74,0.237,12.0,0.6
692.0,0.209,-0.032,7.389,12.7,0.22,13.0,0.6
694.0,0.208,-0.027,7.389,17.33,-1.142,19.0,0.61
696.0,0.207,-0.023,7.389,8.75,-1.666,11.0,0.62
698.0,0.206,-0.02,7.389,9.94,-0.501,11.0,0.61
700.0,0.205,-0.017,7.389,11.18,0.685,11.0,0.6
702.0,0.204,-0.014,7.389,9.8,0.324,10.0,0.61
704.0,0.203,-0.012,7.389,14.53,0.087,15.0,0.61
706.0,0.203,-0.01,7.389,11.32,-0.116,12.0,0.61
708.0,0.202,-0.009,7.389,8.23,-2.363,11.0,0.58
710.0,0.209,0.131,3.76,3.76,-4.858,9.0,0.58
712.0,0.212,0.066,4.778,3.89,-3.651,8.0,0.59
714.0,0.21,-0.037,7.389,9.46,-1.122,11.0,0.58
716.0,0.209,-0.031,7.389,8.7,-0.914,10.0,0.58
718.0,0.208,-0.027,7.389,7.58,-1.86,10.0,0.61
720.0,0.209,0.028,5.796,4.72,-3.819,9.0,0.59
722.0,0.221,0.239,2.177,1.98,-3.546,6.0,0.59
724.0,0.218,-0.063,7.389,7.19,-1.29,9.0,0.6
726.0,0.215,-0.053,7.389,8.33,-1.11,10.0,0.61
728.0,0.213,-0.045,7.389,12.34,-2.11,15.0,0.61
730.0,0.211,-0.039,7.389,9.45,-0.006,10.0,0.61
732.0,0.209,-0.032,7.389,4.39,-3.046,8.0,0.61
734.0,0.208,-0.028,7.389,10.86,-1.573,13.0,0.61
736.0,0.207,-0.024,7.389,10.81,-0.73,12.0,0.59
738.0,0.211,0.093,4.323,3.39,-3.137,7.0,0.59
740.0,0.21,-0.034,7.389,9.58,-1.888,12.0,0.61
742.0,0.208,-0.029,7.389,7.08,-3.41,11.0,0.6
744.0,0.207,-0.025,7.389,10.75,-1.743,13.0,0.6
746.0,0.206,-0.021,7.389,11.57,-0.008,12.0,0.59
748.0,0.205,-0.018,7.389,13.41,0.914,13.0,0.6
750.0,0.204,-0.015,7.389,6.91,-1.566,9.0,0.61
752.0,0.204,-0.013,7.389,10.41,0.978,10.0,0.61
754.0,0.203,-0.011,7.389,10.66,-1.767,13.0,0.61
756.0,0.203,-0.009,7.389,11.69,-1.668,14.0,0.63
758.0,0.202,-0.008,7.389,9.38,-0.044,10.0,0.61
760.0,0.221,0.373,1.3,0.64,-5.923,7.0,0.59
762.0,0.218,-0.063,7.389,6.55,-0.019,7.0,0.59
764.0,0.215,-0.053,7.389,9.67,-0.797,11.0,0.61
766.0,0.213,-0.045,7.389,4.83,-3.625,9.0,0.61
768.0,0.232,0.383,1.22,0.22,-5.276,6.0,0.6
770.0,0.227,-0.096,7.389,14.32,0.878,14.0,0.61
772.0,0.223,-0.082,7.389,14.52,1.042,14.0,0.6
774.0,0.22,-0.069,7.389,16.46,2.0,15.0,0.61
776.0,0.217,-0.059,7.389,8.29,-2.1,11.0,0.62
778.0,0.224,0.152,3.021,2.23,-6.21,9.0,0.61
780.0,0.222,-0.046,6.579,4.31,-5.16,10.0,0.61
782.0,0.226,0.072,4.028,3.35,-7.056,11.0,0.62
784.0,0.222,-0.077,7.389,8.44,-2.984,12.0,0.61
786.0,0.222,0.007,5.355,4.54,-1.941,7.0,0.6
788.0,0.219,-0.066,7.389,15.49,2.0,14.0,0.6
790.0,0.216,-0.056,7.389,18.48,2.0,17.0,0.6
792.0,0.214,-0.048,7.389,15.48,2.0,14.0,0.6
794.0,0.219,0.102,3.828,3.81,-2.664,7.0,0.6
796.0,0.216,-0.056,7.389,5.41,-3.155,9.0,0.59
798.0,0.214,-0.048,7.389,9.85,-1.659,12.0,0.6
800.0,0.211,-0.041,7.389,11.34,0.843,11.0,0.6
802.0,0.21,-0.034,7.389,9.25,-0.199,10.0,0.61
804.0,0.208,-0.029,7.389,12.8,-1.646,15.0,0.61
806.0,0.207,-0.025,7.389,9.31,-1.164,11.0,0.61
808.0,0.206,-0.021,7.389,7.41,-0.099,8.0,0.6
810.0,0.205,-0.018,7.389,6.95,-0.572,8.0,0.6
812.0,0.204,-0.015,7.389,5.59,-2.922,9.0,0.6
814.0,0.204,-0.013,7.389,10.61,-0.939,12.0,0.59
816.0,0.203,-0.011,7.389,11.27,-0.275,12.0,0.59
